tensor(108165.7578, device='cuda:0')
tensor(90755.3828, device='cuda:0')
tensor(111842.4922, device='cuda:0')
tensor(44660.8828, device='cuda:0')
tensor(95984.2969, device='cuda:0')
tensor(179173.2969, device='cuda:0')
tensor(57556.8945, device='cuda:0')
tensor(94069.8047, device='cuda:0')
tensor(118318.6875, device='cuda:0')
tensor(78305.9688, device='cuda:0')
tensor(98385.7578, device='cuda:0')
tensor(38393.8047, device='cuda:0')
tensor(79603.4766, device='cuda:0')
tensor(156514.4688, device='cuda:0')
tensor(46346.8242, device='cuda:0')
tensor(83223.9922, device='cuda:0')
tensor(101057.5391, device='cuda:0')
tensor(0.0119, device='cuda:0')
tensor(0.0117, device='cuda:0')
tensor(0.1837, device='cuda:0')
tensor(0.1358, device='cuda:0')
tensor(0.0172, device='cuda:0')
tensor(0.0215, device='cuda:0')
tensor(0.1289, device='cuda:0')
tensor(0.1011, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0253, device='cuda:0')
tensor(0.1364, device='cuda:0')
tensor(0.0997, device='cuda:0')
tensor(0.0431, device='cuda:0')
tensor(0.0639, device='cuda:0')
tensor(0.1064, device='cuda:0')
tensor(0.0925, device='cuda:0')
tensor(0.0122, device='cuda:0')
tensor(0.0094, device='cuda:0')
tensor(0.1985, device='cuda:0')
tensor(0.1537, device='cuda:0')
tensor(0.0084, device='cuda:0')
tensor(0.0132, device='cuda:0')
tensor(0.1386, device='cuda:0')
tensor(0.1061, device='cuda:0')
tensor(0.0277, device='cuda:0')
tensor(0.0290, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.0920, device='cuda:0')
tensor(0.0395, device='cuda:0')
tensor(0.0592, device='cuda:0')
tensor(0.0986, device='cuda:0')
tensor(0.0849, device='cuda:0')
tensor(0.0106, device='cuda:0')
tensor(0.0136, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.1206, device='cuda:0')
tensor(0.0162, device='cuda:0')
tensor(0.0326, device='cuda:0')
tensor(0.1151, device='cuda:0')
tensor(0.0970, device='cuda:0')
tensor(0.0302, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.1337, device='cuda:0')
tensor(0.1008, device='cuda:0')
tensor(0.0401, device='cuda:0')
tensor(0.0644, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.0925, device='cuda:0')
tensor(0.0139, device='cuda:0')
tensor(0.0151, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1618, device='cuda:0')
tensor(0.0167, device='cuda:0')
tensor(0.0381, device='cuda:0')
tensor(0.1113, device='cuda:0')
tensor(0.1199, device='cuda:0')
tensor(0.0175, device='cuda:0')
tensor(0.0136, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.1376, device='cuda:0')
tensor(0.0187, device='cuda:0')
tensor(0.0367, device='cuda:0')
tensor(0.1269, device='cuda:0')
