tensor(0.0355, device='cuda:0')
tensor(0.0305, device='cuda:0')
tensor(0.1518, device='cuda:0')
tensor(0.1272, device='cuda:0')
tensor(0.0387, device='cuda:0')
tensor(0.0333, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.1039, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.1237, device='cuda:0')
tensor(0.0352, device='cuda:0')
tensor(0.0360, device='cuda:0')
tensor(0.1015, device='cuda:0')
tensor(0.0738, device='cuda:0')
tensor(0.0463, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.1858, device='cuda:0')
tensor(0.1090, device='cuda:0')
tensor(0.0443, device='cuda:0')
tensor(0.0344, device='cuda:0')
tensor(0.1115, device='cuda:0')
tensor(0.0525, device='cuda:0')
tensor(0.0113, device='cuda:0')
tensor(0.0085, device='cuda:0')
tensor(0.2108, device='cuda:0')
tensor(0.1591, device='cuda:0')
tensor(0.0111, device='cuda:0')
tensor(0.0195, device='cuda:0')
tensor(0.1235, device='cuda:0')
tensor(0.0866, device='cuda:0')
tensor(0.0184, device='cuda:0')
tensor(0.0067, device='cuda:0')
tensor(0.2079, device='cuda:0')
tensor(0.1257, device='cuda:0')
tensor(0.0186, device='cuda:0')
tensor(0.0260, device='cuda:0')
tensor(0.1192, device='cuda:0')
tensor(0.0593, device='cuda:0')
tensor(0.0348, device='cuda:0')
tensor(0.0115, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.0985, device='cuda:0')
tensor(0.0360, device='cuda:0')
tensor(0.0345, device='cuda:0')
tensor(0.0908, device='cuda:0')
tensor(0.0408, device='cuda:0')
tensor(0.0214, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.2085, device='cuda:0')
tensor(0.1200, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0175, device='cuda:0')
tensor(0.1295, device='cuda:0')
tensor(0.0538, device='cuda:0')
tensor(0.0125, device='cuda:0')
tensor(0.0044, device='cuda:0')
tensor(0.1847, device='cuda:0')
tensor(0.1205, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.1065, device='cuda:0')
tensor(0.0607, device='cuda:0')
tensor(0.0262, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.1730, device='cuda:0')
tensor(0.0941, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0243, device='cuda:0')
tensor(0.0949, device='cuda:0')
tensor(0.0425, device='cuda:0')
tensor(0.0109, device='cuda:0')
tensor(0.0056, device='cuda:0')
tensor(0.2081, device='cuda:0')
tensor(0.1128, device='cuda:0')
tensor(0.0204, device='cuda:0')
tensor(0.0111, device='cuda:0')
tensor(0.1347, device='cuda:0')
tensor(0.0510, device='cuda:0')
tensor(0.0360, device='cuda:0')
tensor(0.0109, device='cuda:0')
tensor(0.1826, device='cuda:0')
tensor(0.0936, device='cuda:0')
tensor(0.0350, device='cuda:0')
tensor(0.0136, device='cuda:0')
tensor(0.1023, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.0237, device='cuda:0')
tensor(0.0063, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.0921, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.0197, device='cuda:0')
tensor(0.0838, device='cuda:0')
tensor(0.0434, device='cuda:0')
tensor(0.0080, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.2247, device='cuda:0')
tensor(0.1340, device='cuda:0')
tensor(0.0171, device='cuda:0')
tensor(0.0086, device='cuda:0')
tensor(0.1378, device='cuda:0')
tensor(0.0571, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.1978, device='cuda:0')
tensor(0.1054, device='cuda:0')
tensor(0.0268, device='cuda:0')
tensor(0.0191, device='cuda:0')
